forgetting;lifetimes;snapshot_interval;mu;theta;lambda;units
exponential;30;0;0.3;0.1;0.03662040962227032;60
exponential;30;0;0.3;0.2;0.013515503603605475;60
exponential;30;0;0.5;0.1;0.05364793041447001;60
exponential;30;0;0.5;0.2;0.03054302439580517;60
exponential;30;0;0.8;0.1;0.06931471805599453;60
exponential;30;0;0.8;0.2;0.046209812037329684;60
exponential;30;5;0.3;0.1;0.03662040962227032;60
exponential;30;5;0.3;0.2;0.013515503603605475;60
exponential;30;5;0.5;0.1;0.05364793041447001;60
exponential;30;5;0.5;0.2;0.03054302439580517;60
exponential;30;5;0.8;0.1;0.06931471805599453;60
exponential;30;5;0.8;0.2;0.046209812037329684;60
exponential;30;10;0.3;0.1;0.03662040962227032;60
exponential;30;10;0.3;0.2;0.013515503603605475;60
exponential;30;10;0.5;0.1;0.05364793041447001;60
exponential;30;10;0.5;0.2;0.03054302439580517;60
exponential;30;10;0.8;0.1;0.06931471805599453;60
exponential;30;10;0.8;0.2;0.046209812037329684;60
exponential;30;30;0.3;0.1;0.03662040962227032;60
exponential;30;30;0.3;0.2;0.013515503603605475;60
exponential;30;30;0.5;0.1;0.05364793041447001;60
exponential;30;30;0.5;0.2;0.03054302439580517;60
exponential;30;30;0.8;0.1;0.06931471805599453;60
exponential;30;30;0.8;0.2;0.046209812037329684;60
exponential;30;60;0.3;0.1;0.03662040962227032;60
exponential;30;60;0.3;0.2;0.013515503603605475;60
exponential;30;60;0.5;0.1;0.05364793041447001;60
exponential;30;60;0.5;0.2;0.03054302439580517;60
exponential;30;60;0.8;0.1;0.06931471805599453;60
exponential;30;60;0.8;0.2;0.046209812037329684;60
exponential;30;120;0.3;0.1;0.03662040962227032;60
exponential;30;120;0.3;0.2;0.013515503603605475;60
exponential;30;120;0.5;0.1;0.05364793041447001;60
exponential;30;120;0.5;0.2;0.03054302439580517;60
exponential;30;120;0.8;0.1;0.06931471805599453;60
exponential;30;120;0.8;0.2;0.046209812037329684;60
exponential;30;180;0.3;0.1;0.03662040962227032;60
